CLTV,Contract,Dependents,Multiple Lines,Offer,Satisfaction Score,Tenure in Months,Total Charges,Total Revenue,Churn
5795,1,0,0,1.0,3,34,2524.45,2577.15,1
5700,24,0,1,0.0,4,63,6841.4,7513.61,0
4115,1,0,1,0.0,1,31,3019.5,3135.22,1
3663,1,0,0,1.0,3,1,20.4,42.52,1
3359,1,1,0,0.0,3,24,1706.45,2776.13,0
2645,12,0,0,1.0,3,38,2497.35,2715.85,1
4029,24,0,0,1.0,3,60,3483.45,5967.45,0
5444,24,0,1,0.0,3,72,7962.2,8273.24,0
2656,24,1,1,1.0,5,22,1961.6,2845.78,0
4983,12,0,1,0.0,4,30,3327.05,3721.85,0
5348,12,0,0,0.0,4,65,6126.15,8616.95,0
6317,24,1,1,1.0,4,72,5824.75,6534.59,0
3443,1,0,0,1.0,2,4,196.95,356.55,1
5941,12,1,0,0.0,3,22,1031.4,1031.4,0
4868,1,0,1,1.0,5,7,152.95,468.86,0
5390,12,1,0,1.0,3,55,998.1,2521.6,0
4116,24,0,0,1.0,5,53,1005.7,1552.66,0
4022,12,0,1,1.0,3,34,3899.05,4660.99,0
3652,1,0,0,0.0,3,19,1130.85,1288.55,0
4741,1,0,0,1.0,3,12,947.3,1457.9,1
4135,12,0,0,0.0,3,53,5835.5,6189.54,0
5964,1,0,0,0.0,1,13,1008.7,1171.72,1
5535,1,0,0,1.0,4,4,84.5,214.66,0
2011,24,0,0,1.0,4,41,899.45,2353.31,0
3407,1,1,1,0.0,3,37,3532.85,5050.96,0
3459,24,0,0,1.0,3,47,3510.3,3673.39,0
5822,1,0,0,0.0,3,25,2686.05,2946.05,0
5536,1,0,1,1.0,1,1,93.55,123.72,1
2056,24,0,0,0.0,3,40,780.1,1989.3,0
4110,1,0,0,1.0,1,6,389.1,492.18,1
4847,12,0,1,0.0,3,56,5514.95,8141.35,0
4736,12,0,1,1.0,1,48,5037.55,5342.83,1
4620,12,0,1,1.0,4,59,6152.3,8580.15,0
4273,24,0,0,0.0,4,63,7049.75,7877.57,0
4830,1,0,1,0.0,4,3,170.5,300.8,0
2683,1,0,1,0.0,1,2,155.8,166.44,1
6440,24,1,0,1.0,4,58,1158.85,1843.83,0
6034,24,0,0,0.0,5,65,3808.2,4473.15,0
2994,12,0,1,1.0,5,41,2364.0,3859.27,0
3363,24,0,0,0.0,5,45,4285.8,6452.75,0
4971,1,0,0,1.0,2,9,853.1,1091.69,1
5427,12,0,0,1.0,3,48,3094.65,5488.89,0
4836,24,1,0,0.0,5,1,20.35,50.44,0
4309,24,1,0,0.0,5,24,2263.45,2762.17,0
4544,1,0,1,0.0,2,36,3457.9,4335.3,1
4673,24,1,1,1.0,4,61,1498.35,3453.4,0
4865,12,0,1,1.0,3,53,1301.9,3388.51,0
3654,1,1,0,1.0,3,3,168.6,203.01,0
6468,24,0,1,0.0,4,72,6362.35,9681.55,0
6094,24,0,0,1.0,3,54,1149.65,2623.85,0
3273,1,0,1,1.0,5,36,3301.05,3690.81,0
2007,1,0,0,1.0,3,1,70.1,116.27,1
3457,1,1,0,0.0,1,7,496.9,557.73,1
3605,1,0,0,1.0,2,1,31.35,111.35,1
3424,12,0,0,0.0,3,39,1630.4,1630.4,0
5897,1,0,1,0.0,3,23,1710.45,2372.85,1
3167,1,0,0,0.0,4,3,140.4,264.54,0
2024,12,0,0,1.0,3,13,244.8,675.49,0
4989,1,0,1,0.0,3,7,564.65,740.84,0
4103,1,0,1,1.0,1,17,1607.2,2045.63,1
4095,1,0,0,0.0,1,1,25.7,25.7,1
2717,24,0,0,0.0,3,17,343.45,785.04,0
5586,12,0,0,1.0,5,18,401.85,1098.99,0
4580,1,0,0,0.0,4,4,93.45,210.01,0
4583,1,1,1,1.0,4,70,7554.05,10373.65,0
4093,1,0,0,0.0,4,22,2157.3,3180.3,0
5447,1,1,0,0.0,3,35,3756.45,4785.13,0
2269,12,0,0,0.0,4,27,583.3,1149.22,0
3636,1,1,0,0.0,4,19,382.2,1273.49,0
2827,1,0,0,0.0,1,16,1483.25,1950.29,1
5176,1,0,0,0.0,5,16,1212.85,1821.17,0
5224,24,0,0,1.0,5,71,4145.9,4145.9,0
3565,1,0,0,1.0,5,7,278.4,488.68,0
4667,24,1,1,0.0,3,69,6194.1,8012.25,0
2650,1,0,1,0.0,4,3,257.6,300.65,0
3916,1,1,0,0.0,3,2,135.75,193.81,0
5308,24,0,0,1.0,3,68,5646.6,6747.08,0
3476,1,1,0,0.0,3,34,2909.95,3102.05,0
5271,12,0,1,0.0,1,53,3229.65,4478.16,1
4705,12,0,0,0.0,3,26,1908.35,3198.21,0
2734,1,0,0,1.0,1,3,79.45,79.45,1
2616,1,1,1,1.0,5,4,84.2,240.08,0
5720,1,0,1,0.0,1,65,6985.65,9204.75,1
4626,1,1,0,1.0,1,22,1422.05,2447.61,1
2507,1,0,0,0.0,5,1,20.3,24.39,0
2654,24,1,0,0.0,4,19,467.5,1154.54,0
3477,1,0,0,0.0,4,2,119.5,144.68,0
5086,1,0,0,1.0,3,1,90.85,91.98,1
4722,1,0,1,0.0,1,16,1043.35,1802.55,1
4703,24,1,1,0.0,3,72,5430.65,7003.13,0
4463,24,1,1,1.0,3,72,5165.7,5658.9,0
4283,24,0,0,0.0,4,49,2409.9,2409.9,0
2165,1,0,0,0.0,4,8,624.6,943.96,0
5409,24,0,1,0.0,5,71,1732.95,2315.86,0
4120,12,0,1,1.0,4,46,4312.5,4778.48,0
5880,1,1,0,0.0,3,3,90.05,90.05,0
2061,1,1,0,0.0,1,22,880.2,880.2,1
3078,1,0,0,0.0,4,37,697.65,732.13,0
4446,12,0,0,1.0,4,35,3251.3,4987.65,0
5877,1,0,1,0.0,3,18,913.3,1603.06,0
4271,1,1,1,1.0,4,62,6487.2,7551.7,0
2687,1,0,0,0.0,3,31,658.95,1591.12,1
3202,1,1,0,0.0,3,17,846.8,1622.17,0
5755,1,0,0,0.0,4,3,214.4,369.31,0
3040,24,1,1,0.0,3,36,930.95,2183.39,0
2142,1,0,1,1.0,5,8,548.9,559.14,0
6059,24,1,1,1.0,3,70,1715.15,2447.35,0
4495,24,0,1,1.0,2,67,7752.3,10022.26,1
4909,1,0,0,1.0,1,4,86.6,86.6,1
5148,1,0,1,1.0,2,14,1259.0,1449.96,1
3981,1,0,1,0.0,4,32,3145.9,4678.38,0
5566,1,0,0,0.0,3,1,19.4,22.25,0
3926,1,0,0,1.0,3,10,208.25,411.15,0
2444,1,0,1,1.0,5,22,1600.25,2317.95,0
5115,24,0,1,1.0,4,70,5264.25,7710.15,0
6378,24,1,1,1.0,4,72,7732.65,10052.49,0
4140,24,0,0,0.0,3,4,261.65,382.09,0
4131,12,0,0,1.0,3,28,1654.7,1971.66,0
6019,24,1,1,1.0,4,66,1673.8,3245.26,0
2451,1,0,0,1.0,3,1,44.9,60.66,0
4415,1,1,1,1.0,1,3,229.55,264.61,1
2299,24,1,1,0.0,4,10,253.5,617.2,0
3977,12,0,0,0.0,4,15,294.95,509.0,0
5041,24,0,0,1.0,4,72,3139.8,3139.8,0
5730,24,1,0,0.0,4,72,1529.65,3828.61,0
2667,12,0,1,1.0,3,48,3629.2,5777.68,0
2632,1,0,0,1.0,2,1,44.9,86.68,1
4780,1,1,0,0.0,4,29,2621.75,3596.73,0
5530,1,0,1,0.0,3,65,5940.85,8329.6,1
4525,1,0,1,0.0,5,10,777.3,1175.8,0
5213,24,0,1,0.0,3,64,7334.05,10169.89,0
6084,24,1,1,0.0,4,50,3822.45,5467.45,0
5220,12,0,0,0.0,1,36,2498.4,3452.76,1
6107,1,0,0,0.0,3,52,3043.7,3530.94,0
3047,24,1,0,0.0,3,30,711.9,1911.9,0
4801,1,0,0,1.0,4,1,20.55,27.87,0
3818,12,0,0,0.0,3,38,2354.8,4110.78,1
3752,12,0,0,0.0,3,39,1309.15,1309.15,0
4296,24,0,1,1.0,3,71,8477.6,9748.5,0
3458,1,0,0,0.0,1,1,78.05,117.46,1
4722,24,0,0,0.0,4,72,1414.8,4708.8,0
3271,1,0,1,1.0,5,39,2730.85,3069.76,0
5747,1,0,0,1.0,1,1,20.1,36.91,1
3948,24,0,1,1.0,3,48,1183.05,2662.41,0
4053,12,0,0,0.0,3,64,6430.9,6671.54,0
5346,1,0,0,1.0,5,6,112.75,159.07,0
5979,24,1,0,1.0,3,66,3996.8,4550.54,0
2578,24,0,0,0.0,3,10,525.5,525.5,0
5203,1,0,1,1.0,1,14,1101.85,1330.89,1
4419,1,1,0,1.0,2,7,503.6,681.2,1
5364,12,0,1,1.0,3,61,6521.9,9108.3,0
5335,24,1,1,1.0,3,72,1709.1,3189.42,0
4974,24,1,0,1.0,5,72,1493.75,1904.15,0
5494,1,1,0,0.0,5,1,74.6,117.59,0
2786,1,1,1,1.0,1,7,655.5,772.54,1
4848,12,1,1,1.0,3,32,3217.65,4792.37,0
4454,24,0,1,0.0,3,66,6424.25,8836.55,0
5056,1,0,1,1.0,4,56,5893.95,7281.07,0
4626,24,0,0,1.0,5,72,1521.2,3208.16,0
3110,1,0,0,0.0,1,38,2250.65,3242.45,1
2871,1,1,1,1.0,3,14,944.65,986.09,0
5039,24,0,1,1.0,3,2,186.05,229.85,0
3167,1,0,0,0.0,4,1,20.15,47.74,0
4852,1,0,0,1.0,2,3,247.25,386.33,1
5001,24,1,1,1.0,3,68,6185.8,9443.68,0
2583,1,0,1,0.0,4,42,3313.4,3687.25,0
5641,24,0,1,0.0,4,72,6227.5,8470.3,0
5591,24,0,1,1.0,1,70,4759.75,7746.65,1
5884,1,0,1,1.0,1,53,5549.4,5970.22,1
5056,1,0,0,1.0,2,5,512.45,673.05,1
3334,1,0,1,0.0,4,4,253.0,257.4,0
3940,1,0,0,0.0,1,1,75.8,90.28,1
5146,12,0,0,0.0,5,22,1441.8,1480.08,0
5601,24,0,0,1.0,4,68,5515.8,8776.4,0
2236,24,0,0,1.0,3,34,679.0,829.28,0
5237,12,1,0,1.0,3,23,1119.35,1713.9,0
5436,24,1,1,0.0,3,68,6161.9,9160.58,0
4606,12,0,1,0.0,4,56,5515.45,7888.17,0
3715,1,0,1,0.0,3,19,1471.75,1790.57,1
5667,24,0,0,0.0,5,60,4946.7,5786.7,0
5234,24,0,0,1.0,5,72,1363.25,4927.25,0
5998,24,1,1,0.0,4,35,821.6,1481.7,0
2454,1,0,0,0.0,4,40,2058.5,2993.47,0
2928,1,0,0,1.0,3,2,153.05,228.57,1
2761,12,0,0,0.0,2,45,2319.8,4211.6,1
4652,24,1,0,1.0,4,66,3364.55,3474.55,0
4403,1,0,1,1.0,1,31,1994.3,3079.64,1
4162,1,1,0,0.0,4,55,4238.45,4978.2,0
3473,1,0,1,1.0,2,1,95.65,127.98,1
2360,1,1,0,0.0,5,37,683.75,782.91,0
2270,1,0,0,1.0,5,6,298.7,298.7,0
4476,1,0,0,1.0,5,7,141.1,471.43,0
5581,12,0,1,1.0,4,68,5589.3,7922.38,0
6025,24,0,1,1.0,4,66,1697.7,4940.28,0
4701,1,1,1,1.0,3,42,3058.3,3758.44,0
6338,24,0,0,0.0,3,53,1049.6,2046.53,0
3859,1,0,1,1.0,4,41,3090.65,4464.93,0
5443,1,0,1,0.0,3,1,73.65,113.53,1
3357,1,0,1,0.0,1,1,50.55,73.11,1
4145,24,0,1,0.0,5,50,3418.2,4764.47,0
4899,24,0,0,0.0,3,8,600.15,617.59,0
5460,24,0,0,0.0,3,70,3370.2,3370.2,0
5787,1,0,0,0.0,2,3,165.2,168.92,1
4220,1,0,1,0.0,4,6,401.3,567.44,0
4769,1,0,1,0.0,3,51,4242.35,4528.97,1
2200,1,1,0,0.0,3,24,1319.85,1976.73,0
5551,24,0,1,0.0,3,72,7544.0,9125.12,0
4925,1,0,0,1.0,3,4,67.55,140.67,0
4614,12,0,0,1.0,3,10,1064.95,1528.25,0
3365,1,0,0,0.0,1,1,69.5,77.81,1
4579,1,1,1,1.0,3,21,1747.2,2028.39,0
4116,1,1,0,0.0,4,53,2495.2,2495.2,0
4845,12,0,1,1.0,4,61,5251.75,8097.4,0
2863,1,0,0,1.0,2,5,210.75,171.48,1
5972,12,0,0,1.0,5,67,1327.4,1857.37,0
4322,1,0,0,1.0,3,2,195.05,258.87,1
6494,12,1,1,0.0,3,56,3815.4,4334.76,0
3607,12,1,0,0.0,4,24,1454.25,1509.69,0
2028,12,0,1,0.0,5,8,203.95,389.39,0
3766,1,0,0,1.0,1,3,93.7,93.7,1
4879,24,0,1,1.0,3,67,1784.9,2571.48,0
4094,1,0,0,0.0,1,1,45.05,93.08,1
5799,1,0,0,0.0,1,2,145.4,162.4,1
5656,24,1,1,1.0,3,72,5025.85,7833.13,0
3753,1,0,0,0.0,5,1,19.5,27.52,0
6072,12,0,0,0.0,4,70,1341.5,2041.5,0
4756,1,0,1,1.0,4,17,1579.7,1736.44,0
2718,1,0,0,0.0,2,5,477.7,706.3,1
5893,12,0,0,0.0,5,48,4692.95,6979.67,0
3629,24,1,1,1.0,4,47,1160.45,1897.41,0
2215,12,1,0,1.0,5,30,1985.15,3087.35,0
4826,1,0,1,0.0,4,67,3725.5,6970.31,0
5251,1,0,0,1.0,3,2,194.55,247.71,0
4834,1,0,1,1.0,5,9,663.55,1045.24,0
4146,24,0,0,1.0,3,68,4539.6,4669.6,0
4738,24,0,1,0.0,1,57,6465.0,9250.02,1
4464,1,0,1,0.0,2,27,2724.6,3024.03,1
5432,1,1,0,0.0,4,34,3688.6,4918.56,0
4800,12,0,1,1.0,3,13,989.45,1525.31,1
2426,1,0,1,0.0,3,32,2766.4,3066.93,0
2578,1,0,1,1.0,3,1,93.3,101.29,1
5379,1,0,0,0.0,3,26,1815.65,2790.91,0
6136,24,0,0,1.0,5,68,1396.0,2108.64,0
6114,24,0,1,0.0,3,72,6058.95,7164.15,0
3445,12,0,0,0.0,3,34,2053.05,3555.7,0
5775,1,0,1,0.0,3,71,7713.55,10025.44,0
2165,24,0,0,1.0,5,39,790.0,2209.21,0
2755,1,0,0,0.0,2,3,188.7,331.74,1
5527,1,0,1,0.0,3,35,3180.5,4137.15,0
4561,1,0,0,0.0,5,29,2607.6,2687.05,0
4248,1,0,0,0.0,2,1,19.9,69.41,1
5622,1,0,0,1.0,1,1,81.95,126.89,1
6101,12,1,0,1.0,4,71,7288.4,8292.34,0
5974,24,1,0,1.0,4,51,1086.75,2563.71,0
4176,12,0,1,0.0,3,41,3263.9,3516.46,0
4846,1,1,0,0.0,1,5,221.7,341.15,1
4226,12,0,1,0.0,5,29,2080.1,3280.12,0
3302,12,0,0,0.0,4,30,625.05,1362.15,0
6212,24,0,1,1.0,4,72,6254.45,6690.05,0
4196,1,1,1,0.0,5,26,1265.65,1840.49,0
4556,24,0,1,0.0,4,43,3645.6,4024.43,0
3235,1,1,0,0.0,3,20,939.8,1203.4,0
4844,12,0,1,0.0,3,36,3348.1,4957.3,0
5029,12,0,1,0.0,4,47,4889.3,5671.38,0
5554,1,0,1,0.0,3,1,74.5,110.94,1
6006,1,0,1,1.0,1,49,2934.3,4691.93,1
4680,24,0,1,0.0,3,72,7550.3,9602.3,0
3366,1,0,0,0.0,4,15,320.45,361.55,0
4964,24,0,0,1.0,3,71,7168.25,8038.71,0
3493,1,0,1,0.0,1,13,1301.7,1615.52,1
4830,1,0,0,1.0,3,36,2854.95,4425.31,0
3643,12,0,0,0.0,4,9,164.6,200.78,0
3997,1,0,1,0.0,2,44,3862.55,5630.03,1
4629,1,0,0,0.0,3,1,19.2,55.08,0
5722,1,0,1,1.0,4,31,2929.75,3624.77,0
5265,24,0,0,1.0,4,72,4528.0,4528.0,0
5575,1,0,0,0.0,5,17,836.35,836.35,0
2044,24,0,1,1.0,3,29,1718.95,1943.37,0
4115,1,0,1,1.0,1,20,1761.45,1872.25,1
2935,12,0,0,1.0,3,45,2796.45,3174.45,0
5153,12,0,0,1.0,3,60,4456.35,7390.35,0
2896,24,0,0,0.0,5,27,561.15,964.15,0
4117,24,0,0,0.0,3,24,487.05,1627.29,0
3535,1,0,0,1.0,1,12,233.55,467.31,1
2813,1,0,0,0.0,3,3,293.15,344.18,0
5264,24,1,1,1.0,3,45,3371.0,4527.05,0
5476,1,0,0,0.0,1,5,308.25,326.3,1
3392,1,0,1,0.0,2,16,1587.55,1830.11,1
5387,1,0,0,1.0,3,42,2455.05,3805.77,0
5811,1,1,0,0.0,5,1,20.05,36.07,0
3698,1,0,1,1.0,2,30,2624.25,2768.85,1
4573,1,1,0,0.0,3,5,86.05,126.25,0
2087,1,0,0,0.0,2,6,270.95,527.91,1
2358,1,0,0,1.0,3,43,3551.65,3879.74,0
4241,24,0,1,1.0,4,71,6951.15,9387.38,0
3043,1,0,0,0.0,1,12,654.85,750.49,1
4156,12,1,1,0.0,4,68,5163.0,6533.2,0
3942,12,1,0,1.0,3,35,746.75,2182.45,0
2545,1,0,1,1.0,1,8,762.1,1126.82,1
3270,1,0,0,0.0,4,1,95.85,98.55,0
5679,12,0,1,0.0,3,55,5509.3,7665.2,1
2699,1,0,0,1.0,2,2,98.5,111.44,1
3889,1,0,0,0.0,4,3,61.05,183.99,0
4931,1,0,0,1.0,2,1,85.45,108.42,1
4969,1,0,1,1.0,3,8,743.75,822.79,0
4105,1,0,1,0.0,2,60,6396.45,7038.45,1
4668,1,1,0,1.0,5,7,472.65,682.15,0
5153,24,0,1,0.0,4,72,6827.5,8849.98,0
3967,24,0,0,0.0,3,35,705.45,1307.45,0
4275,24,1,1,1.0,4,72,1738.9,3109.78,0
2754,12,0,0,1.0,5,3,220.45,338.98,0
5084,12,1,0,0.0,3,7,136.75,480.87,0
3955,1,0,0,0.0,3,25,1992.95,2534.7,0
5809,1,0,0,1.0,5,1,19.75,21.36,0
6411,1,1,1,1.0,4,55,4713.4,7017.35,0
5973,1,1,0,0.0,3,5,167.2,167.2,0
5342,1,0,1,0.0,3,14,1096.25,1587.23,1
5865,24,1,1,0.0,5,24,609.05,785.93,0
4192,12,0,0,1.0,4,45,3597.5,4020.17,0
3430,1,0,0,0.0,5,2,139.25,228.79,0
4031,24,0,0,1.0,4,70,4144.8,4121.08,0
4367,24,0,1,1.0,5,71,1901.0,3476.49,0
2568,1,0,1,0.0,3,29,2440.25,3735.75,0
4329,24,0,1,1.0,3,71,1756.2,3937.32,0
5793,12,1,0,1.0,3,47,4391.45,5124.18,0
5518,1,0,1,0.0,3,1,75.45,87.03,1
5047,1,0,0,1.0,1,12,1095.65,1305.17,1
6216,1,0,0,0.0,1,52,4348.65,6343.89,1
5594,1,0,1,1.0,3,10,270.15,440.25,0
3707,12,1,0,0.0,3,15,1667.25,1819.05,0
5687,1,0,0,0.0,3,59,3735.45,4726.65,0
5136,24,0,1,1.0,4,72,6719.9,7698.38,0
5731,24,0,1,1.0,5,53,5682.25,6367.01,0
2004,1,1,0,1.0,5,11,1020.2,1443.48,0
5356,24,0,0,0.0,3,67,3953.7,5412.09,0
4467,12,0,1,0.0,5,70,1856.4,4049.5,0
5682,12,0,0,0.0,4,25,495.15,1122.15,0
4851,1,0,0,1.0,1,1,24.8,24.8,1
5952,24,1,1,0.0,3,71,6152.4,8542.97,0
3612,1,0,1,0.0,5,19,465.85,689.54,0
4011,24,0,1,0.0,3,56,4054.2,6125.84,0
5045,24,1,1,0.0,5,68,5746.75,7442.67,0
5414,1,0,1,0.0,5,9,542.4,610.28,0
3215,1,0,0,1.0,3,12,442.45,442.45,0
2394,1,0,1,0.0,2,1,74.45,115.72,1
5536,12,0,1,1.0,3,61,7365.7,9731.28,0
4335,24,0,0,1.0,4,58,1131.5,2828.0,0
5085,24,0,1,1.0,3,52,3103.25,4852.09,0
6423,12,0,1,1.0,5,72,7578.05,9578.93,0
4903,1,1,1,1.0,4,53,3827.9,5288.58,0
2750,24,1,0,0.0,3,7,305.55,305.55,0
3149,1,1,1,0.0,4,32,3089.6,3858.88,0
5835,24,1,1,1.0,5,71,6342.7,9160.17,0
4831,1,0,0,1.0,5,1,25.25,35.25,0
5232,24,0,1,0.0,5,54,4931.8,5935.12,0
5897,24,1,1,0.0,4,72,1784.5,5161.94,0
5989,1,1,0,0.0,4,53,5935.1,8234.77,0
4644,12,0,1,0.0,4,71,8309.55,8514.03,0
4982,24,0,0,0.0,3,41,802.35,2279.56,0
5296,24,0,1,0.0,3,11,662.95,1314.58,0
4261,12,0,0,1.0,4,35,700.45,1942.95,0
5448,12,0,1,1.0,4,71,7181.25,7458.86,0
